ID,Title,Steps,Expected Result
AUR-101,Account locks after 5 consecutive failed login attempts,"Enter aurora.shopper@example.com in the email field; enter a wrong password and submit; repeat five times","After the 5th consecutive failure the account is locked; the shopper must reset the password or try again later; no authentication is attempted and further logins are rejected"
AUR-102,Account is locked after five bad password submissions,"Submit a wrong password five times in a row on staging.aurora-shop.dev/login","The account locks after the fifth failure; further logins are rejected until reset"
AUR-103,Account unlocks automatically after 30 minutes,"Lock the account with five bad logins; wait 30 minutes; sign in with the correct password","The account is unlocked automatically and the shopper reaches the dashboard; the counter is reset"
AUR-104,Locked shopper regains access after the half-hour window,"Trigger lockout; wait for the unlock window to pass; log in again","Login succeeds after 30 minutes without a password reset"
AUR-105,Locked account rejects any further login attempts,"Lock the account; try to log in with the correct password","No authentication is attempted; the locked-account message is shown and no session is issued"
AUR-106,No login succeeds while the account stays locked,"Lock the account; submit valid credentials","The attempt is rejected and the failed-attempt counter does not increase"
AUR-107,SQL injection in the login email field is rejected,"Enter `' OR '1'='1` in the email field and submit","The login is rejected with a generic validation message; no account is authenticated; the Postgres audit log records no successful authentication"
AUR-108,Malicious SQL input in the email box is blocked,"Type an SQL payload into the login email field; submit any password","The login is rejected with a generic validation message; the Postgres audit log shows no successful authentication"
AUR-109,4 failed attempts do not lock the account and the 5th within 15 minutes does,"Submit a wrong password four times; then submit the correct password; then fail once more","After four failures login still works; at the fifth consecutive failure within the window the account locks"
AUR-110,Boundary of four versus five failures inside the window,"Fail four times within 15 minutes and confirm login works; fail a fifth time","The fifth consecutive failure locks the account"
AUR-111,Failed attempts older than 15 minutes fall outside the window,"Record four failures more than 15 minutes ago; fail once more now","The new failure counts as the first in the window and the account does not lock"
AUR-112,Stale failures outside the 15-minute window are ignored,"Age four failures past 15 minutes; submit one more bad password","Login with the correct password still succeeds"
AUR-201,Guest checkout shows the order total before payment,"Add SKU-1042 to the bag as a guest; go to checkout","The order total with shipping is shown before the payment step"
AUR-202,Wishlist saves items for the next visit,"Save SKU-2087 to the wishlist; close the browser; reopen staging.aurora-shop.dev","The saved item is still in the wishlist on the next visit"
AUR-203,Search returns matching SKUs for a partial term,"Type 'lamp' in the storefront search box","Matching SKUs are listed within two seconds"
AUR-204,Checkout rejects an expired card with a clear message,"Pay with an expired test card on the staging checkout","The payment is declined and a clear card error is shown"
AUR-205,Password reset email arrives within a minute,"Request a reset for aurora.shopper@example.com","The reset email arrives within one minute with a working link"
AUR-206,Cart keeps quantities after a page refresh,"Set SKU-1042 quantity to 3; refresh the page","The cart still shows quantity 3 for SKU-1042"
AUR-207,Admin console lists recent orders newest first,"Open the admin console order list","Orders are sorted newest first with ten rows per page"
AUR-208,Stock count decreases after a completed purchase,"Note the stock for SKU-3091; buy one unit","The stock count for SKU-3091 decreases by one"
